c,y
7.0,0.27043563387175723
7.0,0.27165932452276065
7.0,0.2728830151737641
7.0,0.27410670582476754
8.0,0.27533039647577096
8.0,0.2765540871267744
8.0,0.2777777777777778
8.0,0.2790014684287812
8.0,0.2802251590797847
8.0,0.2814488497307881
8.0,0.2826725403817915
8.0,0.28389623103279493
8.0,0.28511992168379835
8.0,0.28634361233480177
8.0,0.28756730298580524
8.0,0.28879099363680866
8.0,0.2900146842878121
8.0,0.2912383749388155
8.0,0.2924620655898189
8.0,0.2936857562408223
8.0,0.2949094468918258
8.0,0.2961331375428292
8.0,0.29735682819383263
8.0,0.29858051884483605
8.0,0.29980420949583947
8.0,0.3010279001468429
8.0,0.30225159079784636
8.0,0.3034752814488498
8.0,0.3046989720998532
8.0,0.3059226627508566
8.0,0.30714635340186003
8.0,0.30837004405286345
8.0,0.3095937347038669
8.0,0.31081742535487034
8.0,0.31204111600587375
8.0,0.31326480665687717
8.0,0.3144884973078806
8.0,0.315712187958884
8.0,0.3169358786098874
8.0,0.3181595692608909
8.0,0.3193832599118943
8.0,0.32060695056289773
8.0,0.32183064121390115
8.0,0.32305433186490456
9.0,0.324278022515908
9.0,0.32550171316691145
9.0,0.3267254038179149
9.0,0.3279490944689183
9.0,0.3291727851199217
9.0,0.3303964757709251
9.0,0.33162016642192854
9.0,0.332843857072932
9.0,0.33406754772393543
9.0,0.33529123837493885
9.0,0.33651492902594227
9.0,0.3377386196769457
9.0,0.3389623103279491
9.0,0.3401860009789526
9.0,0.341409691629956
9.0,0.3426333822809594
9.0,0.3438570729319628
9.0,0.34508076358296624
9.0,0.34630445423396966
9.0,0.34752814488497313
9.0,0.34875183553597655
9.0,0.34997552618697997
9.0,0.3511992168379834
9.0,0.3524229074889868
9.0,0.3536465981399902
9.0,0.3548702887909937
9.0,0.3560939794419971
9.0,0.35731767009300053
9.0,0.35854136074400395
9.0,0.35976505139500736
9.0,0.3609887420460108
9.0,0.36221243269701425
9.0,0.36343612334801767
9.0,0.3646598139990211
9.0,0.3658835046500245
9.0,0.3671071953010279
10.0,0.36833088595203134
10.0,0.3695545766030348
10.0,0.37077826725403823
10.0,0.37200195790504165
10.0,0.37322564855604506
10.0,0.3744493392070485
10.0,0.3756730298580519
10.0,0.37689672050905537
10.0,0.3781204111600588
10.0,0.3793441018110622
10.0,0.3805677924620656
10.0,0.38179148311306904
10.0,0.38301517376407246
10.0,0.38423886441507593
10.0,0.38546255506607935
10.0,0.38668624571708277
10.0,0.3879099363680862
10.0,0.3891336270190896
10.0,0.390357317670093
10.0,0.39158100832109644
10.0,0.3928046989720999
10.0,0.3940283896231033
10.0,0.39525208027410674
10.0,0.39647577092511016
10.0,0.3976994615761136
10.0,0.398923152227117
10.0,0.40014684287812047
10.0,0.4013705335291239
10.0,0.4025942241801273
10.0,0.4038179148311307
11.0,0.40504160548213414
11.0,0.40626529613313755
11.0,0.407488986784141
11.0,0.40871267743514444
11.0,0.40993636808614786
11.0,0.4111600587371513
11.0,0.4123837493881547
11.0,0.4136074400391581
11.0,0.4148311306901616
11.0,0.416054821341165
11.0,0.4172785119921684
11.0,0.41850220264317184
11.0,0.41972589329417526
11.0,0.4209495839451787
11.0,0.42217327459618215
11.0,0.42339696524718556
11.0,0.424620655898189
11.0,0.4258443465491924
11.0,0.4270680372001958
11.0,0.42829172785119923
11.0,0.4295154185022027
11.0,0.4307391091532061
11.0,0.43196279980420954
11.0,0.43318649045521296
11.0,0.4344101811062164
11.0,0.4356338717572198
11.0,0.43685756240822327
11.0,0.4380812530592267
11.0,0.4393049437102301
11.0,0.4405286343612335
11.0,0.44175232501223693
11.0,0.44297601566324035
11.0,0.4441997063142438
11.0,0.44542339696524724
11.0,0.44664708761625066
12.0,0.4478707782672541
12.0,0.4490944689182575
12.0,0.4503181595692609
12.0,0.4515418502202644
12.0,0.4527655408712678
12.0,0.4539892315222712
12.0,0.45521292217327464
12.0,0.45643661282427805
12.0,0.45766030347528147
12.0,0.45888399412628494
12.0,0.46010768477728836
12.0,0.4613313754282918
12.0,0.4625550660792952
12.0,0.4637787567302986
12.0,0.46500244738130203
12.0,0.4662261380323055
12.0,0.4674498286833089
12.0,0.46867351933431234
12.0,0.46989720998531576
12.0,0.4711209006363192
12.0,0.4723445912873226
12.0,0.473568281938326
12.0,0.4747919725893295
12.0,0.4760156632403329
12.0,0.4772393538913363
12.0,0.47846304454233973
12.0,0.47968673519334315
12.0,0.48091042584434657
12.0,0.48213411649535004
12.0,0.48335780714635346
12.0,0.4845814977973569
12.0,0.4858051884483603
12.0,0.4870288790993637
12.0,0.4882525697503671
12.0,0.4894762604013706
12.0,0.490699951052374
12.0,0.49192364170337743
12.0,0.49314733235438085
12.0,0.49437102300538427
13.0,0.4955947136563877
13.0,0.49681840430739116
13.0,0.4980420949583946
13.0,0.499265785609398
13.0,0.5004894762604014
13.0,0.5017131669114049
13.0,0.5029368575624082
13.0,0.5041605482134117
13.0,0.5053842388644151
13.0,0.5066079295154186
13.0,0.507831620166422
13.0,0.5090553108174254
13.0,0.5102790014684289
13.0,0.5115026921194322
13.0,0.5127263827704357
13.0,0.5139500734214391
13.0,0.5151737640724425
13.0,0.516397454723446
13.0,0.5176211453744494
13.0,0.5188448360254528
13.0,0.5200685266764562
13.0,0.5212922173274597
13.0,0.5225159079784631
13.0,0.5237395986294665
13.0,0.52496328928047
13.0,0.5261869799314733
13.0,0.5274106705824768
13.0,0.5286343612334802
13.0,0.5298580518844836
13.0,0.5310817425354871
13.0,0.5323054331864905
13.0,0.533529123837494
14.0,0.5347528144884973
14.0,0.5359765051395008
14.0,0.5372001957905043
14.0,0.5384238864415076
14.0,0.5396475770925111
14.0,0.5408712677435145
14.0,0.5420949583945179
14.0,0.5433186490455213
14.0,0.5445423396965248
14.0,0.5457660303475282
14.0,0.5469897209985316
14.0,0.5482134116495351
14.0,0.5494371023005384
14.0,0.5506607929515419
14.0,0.5518844836025453
14.0,0.5531081742535487
14.0,0.5543318649045522
14.0,0.5555555555555556
14.0,0.556779246206559
14.0,0.5580029368575624
14.0,0.5592266275085659
14.0,0.5604503181595694
14.0,0.5616740088105727
14.0,0.5628976994615762
14.0,0.5641213901125796
15.0,0.565345080763583
15.0,0.5665687714145864
15.0,0.5677924620655899
15.0,0.5690161527165933
15.0,0.5702398433675967
15.0,0.5714635340186002
15.0,0.5726872246696035
15.0,0.573910915320607
15.0,0.5751346059716105
15.0,0.5763582966226138
15.0,0.5775819872736173
15.0,0.5788056779246207
15.0,0.5800293685756241
15.0,0.5812530592266275
15.0,0.582476749877631
15.0,0.5837004405286345
15.0,0.5849241311796378
15.0,0.5861478218306413
15.0,0.5873715124816447
15.0,0.5885952031326481
15.0,0.5898188937836516
15.0,0.591042584434655
15.0,0.5922662750856584
15.0,0.5934899657366618
15.0,0.5947136563876653
15.0,0.5959373470386686
15.0,0.5971610376896721
15.0,0.5983847283406756
15.0,0.5996084189916789
15.0,0.6008321096426824
15.0,0.6020558002936858
15.0,0.6032794909446892
16.0,0.6045031815956927
16.0,0.6057268722466961
16.0,0.6069505628976996
16.0,0.6081742535487029
16.0,0.6093979441997064
16.0,0.6106216348507097
16.0,0.6118453255017132
16.0,0.6130690161527167
16.0,0.6142927068037201
16.0,0.6155163974547235
16.0,0.6167400881057269
16.0,0.6179637787567304
16.0,0.6191874694077338
16.0,0.6204111600587372
16.0,0.6216348507097407
16.0,0.622858541360744
16.0,0.6240822320117475
16.0,0.6253059226627509
16.0,0.6265296133137543
16.0,0.6277533039647578
16.0,0.6289769946157612
16.0,0.6302006852667646
16.0,0.631424375917768
16.0,0.6326480665687715
16.0,0.6338717572197748
16.0,0.6350954478707783
16.0,0.6363191385217818
16.0,0.6375428291727852
16.0,0.6387665198237886
16.0,0.639990210474792
16.0,0.6412139011257955
17.0,0.6424375917767989
17.0,0.6436612824278023
17.0,0.6448849730788058
17.0,0.6461086637298091
17.0,0.6473323543808126
17.0,0.648556045031816
